gene,D0_tir1_rep1,D0_tir1_rep2,D0_tir1_rep3,D0_tir1_rep4,D0_wt_rep1,D0_wt_rep2,D0_wt_rep3,D0_wt_rep4,D3_tir1_rep1,D3_tir1_rep2,D3_tir1_rep3,D3_tir1_rep4,D3_wt_rep1,D3_wt_rep2,D3_wt_rep3,D3_wt_rep4,D7_tir1_rep1,D7_tir1_rep2,D7_tir1_rep3,D7_tir1_rep4,D7_wt_rep1,D7_wt_rep2,D7_wt_rep3,D7_wt_rep4
0610005C13Rik,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
0610006L08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610009B22Rik,14.0,25.0,28.0,27.0,21.0,12.0,21.0,17.0,14.0,5.0,14.0,6.0,8.0,7.0,10.0,12.0,17.0,54.0,30.0,43.0,23.0,32.0,15.0,11.0
0610009E02Rik,3.0,5.0,4.0,6.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,1.0,13.0,9.0,9.0,7.0,4.0,3.0,3.0
0610009L18Rik,9.0,17.0,15.0,11.0,15.0,17.0,13.0,8.0,10.0,5.0,16.0,5.0,8.0,1.0,4.0,4.0,12.0,17.0,14.0,15.0,13.0,16.0,6.0,8.0
0610010F05Rik,0.0,2.0,3.0,1.0,0.0,2.0,4.0,4.0,2.0,1.0,4.0,0.0,2.0,0.0,0.0,1.0,2.0,5.0,9.0,2.0,3.0,2.0,1.0,0.0
0610010K14Rik,107.0,171.0,197.0,189.0,134.0,118.0,141.0,115.0,98.0,66.0,126.0,40.0,72.0,37.0,86.0,50.0,123.0,285.0,195.0,159.0,141.0,152.0,72.0,107.0
0610012D04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610012G03Rik,84.0,110.0,121.0,112.0,93.0,72.0,97.0,102.0,67.0,40.0,95.0,15.0,41.0,26.0,62.0,34.0,135.0,254.0,126.0,118.0,137.0,124.0,53.0,77.0
0610025J13Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610030E20Rik,41.0,58.0,59.0,62.0,52.0,42.0,49.0,64.0,38.0,22.0,52.0,17.0,28.0,21.0,33.0,25.0,46.0,92.0,68.0,71.0,43.0,81.0,35.0,46.0
0610031O16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610038B21Rik,0.0,4.0,6.0,1.0,2.0,1.0,3.0,2.0,0.0,1.0,2.0,2.0,0.0,2.0,3.0,1.0,2.0,5.0,5.0,1.0,2.0,2.0,1.0,0.0
0610039K10Rik,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
0610040B10Rik,19.0,24.0,30.0,19.0,28.0,22.0,27.0,17.0,11.0,9.0,15.0,5.0,9.0,4.0,14.0,9.0,23.0,33.0,28.0,20.0,15.0,23.0,13.0,19.0
0610040F04Rik,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0
0610040J01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
