Geneid,SpleenLN.TIR1.Resting.rep_1,SpleenLN.WT.Resting.rep_3,SpleenLN.WT.Activated.rep_1,SpleenLN.WT.Activated.rep_3,Thymus.TIR1.Developing.rep_1,Thymus.WT.Developing.rep_1,SpleenLN.WT.Resting.rep_2,SpleenLN.WT.Activated.rep_2,SpleenLN.TIR1.Resting.rep_3,SpleenLN.TIR1.Activated.rep_1,Thymus.TIR1.Developing.rep_3,Thymus.WT.Developing.rep_3,SpleenLN.TIR1.Activated.rep_2,SpleenLN.TIR1.Activated.rep_3,Thymus.TIR1.Developing.rep_2,Thymus.WT.Developing.rep_2,SpleenLN.WT.Resting.rep_1
4933401J01Rik,0,2,0,2,0,1,1,1,0,0,0,1,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,0,0,2,1,4,1,0,3,2,2,0,2,1,0,3,1,0
Gm18956,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Gm37180,0,2,1,0,1,1,2,2,0,0,0,1,0,2,0,0,0
Gm37363,3,4,4,3,2,5,3,9,3,1,5,3,3,9,7,4,3
Gm37686,2,5,1,0,4,1,2,2,2,2,2,6,0,1,2,3,1
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,1,1,0,2,0,3,0,0,0,0,0,0,1
Gm7341,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm38148,4,0,1,2,3,0,0,0,1,3,1,1,3,0,1,0,1
Gm19938,17,12,12,14,9,10,13,11,14,13,14,14,13,12,8,12,10
Gm10568,20,15,25,19,12,11,8,8,10,10,9,9,12,15,10,14,9
Gm38385,2,6,3,1,1,1,3,4,0,2,0,1,1,4,4,1,1
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Rp1,6,6,4,6,4,2,3,7,5,4,3,3,4,3,6,2,1
Gm6101,0,1,1,3,0,2,1,0,1,2,0,0,1,1,0,0,0
Gm37483,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sox17,3,1,2,4,1,1,0,0,4,2,0,1,0,0,2,3,1
Gm37587,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Gm7357,0,0,0,3,3,1,2,3,2,0,3,0,0,0,0,3,1
Gm22307,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0
