,Celltype
SRP272473.SRR12264704.activated_Treg.rep1,activated_Treg
SRP272473.SRR12264655.resting_Treg_GFP_DTR_WT.rep1,resting_Treg_GFP_DTR_WT
SRP272473.SRR12264672.CD73__Thymic_Foxp3_GFPKO.rep3,CD73__Thymic_Foxp3_GFPKO
SRP272473.SRR12264625.Tcf7_heterozygous_resting_Foxp3_GFP_Cre_KO.rep3,Tcf7_heterozygous_resting_Foxp3_GFP_Cre_KO
SRP272473.SRR12264623.Tcf7_heterozygous_resting_Foxp3_GFP_Cre_KO.rep1,Tcf7_heterozygous_resting_Foxp3_GFP_Cre_KO
SRP272473.SRR12264622.Wild_type_resting_Foxp3_GFP_Cre_KO.rep3,Wild_type_resting_Foxp3_GFP_Cre_KO
SRP272473.SRR12264702.resting_Treg.rep2,resting_Treg
SRP272473.SRR12264705.activated_Treg.rep2,activated_Treg
SRP272473.SRR12264624.Tcf7_heterozygous_resting_Foxp3_GFP_Cre_KO.rep2,Tcf7_heterozygous_resting_Foxp3_GFP_Cre_KO
SRP272473.SRR12264669.CD73__Thymic_Treg.rep3,CD73__Thymic_Treg
SRP272473.SRR12264664.activated_Foxp3_GFPKO.rep1,activated_Foxp3_GFPKO
SRP272473.SRR12264698.activated_Tcon.rep1,activated_Tcon
SRP272473.SRR12264701.resting_Treg.rep1,resting_Treg
SRP272473.SRR12264697.resting_Tcon.rep3,resting_Tcon
SRP272473.SRR12264706.activated_Treg.rep3,activated_Treg
SRP272473.SRR12264658.resting_Foxp3_GFPKO.rep1,resting_Foxp3_GFPKO
SRP272473.SRR12264656.resting_Treg_GFP_DTR_WT.rep2,resting_Treg_GFP_DTR_WT
SRP272473.SRR12264666.activated_Foxp3_GFPKO.rep3,activated_Foxp3_GFPKO
SRP272473.SRR12264671.CD73__Thymic_Foxp3_GFPKO.rep2,CD73__Thymic_Foxp3_GFPKO
SRP272473.SRR12264699.activated_Tcon.rep3,activated_Tcon
SRP272473.SRR12264696.resting_Tcon.rep2,resting_Tcon
SRP272473.SRR12264663.activated_Treg_GFP_DTR_WT.rep3,activated_Treg_GFP_DTR_WT
SRP272473.SRR12264700.activated_Tcon.rep4,activated_Tcon
SRP272473.SRR12264659.resting_Foxp3_GFPKO.rep2,resting_Foxp3_GFPKO
SRP272473.SRR12264621.Wild_type_resting_Foxp3_GFP_Cre_KO.rep2,Wild_type_resting_Foxp3_GFP_Cre_KO
SRP272473.SRR12264662.activated_Treg_GFP_DTR_WT.rep2,activated_Treg_GFP_DTR_WT
SRP272473.SRR12264668.CD73__Thymic_Treg.rep2,CD73__Thymic_Treg
SRP272473.SRR12264661.activated_Treg_GFP_DTR_WT.rep1,activated_Treg_GFP_DTR_WT
SRP272473.SRR12264703.resting_Treg.rep3,resting_Treg
SRP272473.SRR12264660.resting_Foxp3_GFPKO.rep3,resting_Foxp3_GFPKO
SRP272473.SRR12264665.activated_Foxp3_GFPKO.rep2,activated_Foxp3_GFPKO
SRP272473.SRR12264620.Wild_type_resting_Foxp3_GFP_Cre_KO.rep1,Wild_type_resting_Foxp3_GFP_Cre_KO
SRP272473.SRR12264670.CD73__Thymic_Foxp3_GFPKO.rep1,CD73__Thymic_Foxp3_GFPKO
SRP272473.SRR12264667.CD73__Thymic_Treg.rep1,CD73__Thymic_Treg
SRP272473.SRR12264657.resting_Treg_GFP_DTR_WT.rep3,resting_Treg_GFP_DTR_WT
SRP272473.SRR12264695.resting_Tcon.rep1,resting_Tcon
