"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Gm6085" 107.000095550124 0.153291207315059 0.307934154349117 0.497805148113796 0.618621387028752 0.998876747371367
"U6" 111.099666865822 -0.260259688341162 0.313420003413817 -0.830386336246489 0.406320388428448 0.998876747371367
"Gm6123" 63.4900742802823 -0.0411801634268898 0.400351147226412 -0.102860110960544 0.91807399656286 0.998876747371367
"Mrpl15" 2061.69339884483 -0.00685135015509451 0.174769044459047 -0.0392023094038255 0.968729092415515 0.998876747371367
"Lypla1" 2990.21679702493 -0.285454666655135 0.185831207541649 -1.5360964954778 0.12451471568877 0.920900818839694
"Tcea1" 1551.63108154366 -0.101220923558496 0.162856421090635 -0.621534741342268 0.534247843443756 0.998876747371367
"Atp6v1h" 3463.23082351655 -0.146574412975268 0.135825650481849 -1.07913646984415 0.280526895517989 0.998876747371367
"4732440D04Rik" 185.070669566841 0.0560433337912706 0.255706916806392 0.219170190979635 0.82651747512637 0.998876747371367
"Rb1cc1" 2650.41664781905 -0.290595596260588 0.195916067015333 -1.48326577134608 0.138003812657951 0.941784109935522
"ENSMUSG00000120372" 112.318613988648 -0.0517475501704239 0.309290152932268 -0.167310694116267 0.867125590056305 0.998876747371367
"Pcmtd1" 1554.42054753342 -0.042728765013018 0.189998049116572 -0.22489054604346 0.822064424094323 0.998876747371367
"Gm38372" 14.8399231233493 -0.568338413772241 0.857494495027863 -0.662789577154981 0.507465329916692 0.998876747371367
"Rrs1" 1225.01980015979 0.0664674506893368 0.159092199556393 0.417792015414157 0.676099189223474 0.998876747371367
"Vcpip1" 1501.93916739048 0.0160955934141296 0.252155392298823 0.0638320412956116 0.949103965009621 0.998876747371367
"Sgk3" 864.635693625638 -0.183273243116685 0.210645224429522 -0.870056482946779 0.384269537664515 0.998876747371367
"Snhg6" 251.684556891451 -0.239523977359003 0.229975839481196 -1.04151800423621 0.29763520166731 0.998876747371367
"Cops5" 2193.03429714567 -0.037106972817525 0.17528707112022 -0.211692582803642 0.832346875031049 0.998876747371367
"Cspp1" 897.373668418535 -0.191595911504593 0.169685592532292 -1.12912303658386 0.258845934630354 0.99727970138191
"Arfgef1" 2003.85872193608 -0.0723562523735118 0.166237170071949 -0.435259168224503 0.663374319274771 0.998876747371367
"7SK" 307.141978159928 -0.403098029434514 0.275484501756495 -1.46323305617685 0.143403618492541 0.946743004722869
"Gm37569" 28.7493338617983 -1.33916266884278 0.599896594938756 -2.23232250381334 0.0255936555911779 0.636808970598199
"Slco5a1" 22.7962862891574 -0.407526730628221 0.628795030456347 -0.648107429113202 0.516915469299705 0.998876747371367
"Ncoa2" 2085.50327402481 0.0326548820410639 0.146303117073373 0.223200179834084 0.823379711984221 0.998876747371367
"Gm38376" 72.7847152376759 -0.339843841272089 0.380929626323805 -0.892143371865775 0.372316090160483 0.998876747371367
"Gm37409" 51.9688190469878 -0.182638734541801 0.588875657346944 -0.310148215948748 0.756448247725886 0.998876747371367
"Gm38120" 129.474439648201 -0.613910357531635 0.312917276122669 -1.96189345995384 0.0497748894082209 0.753188740646484
"Gm38380" 213.94324783672 -0.273192758114804 0.285540301320275 -0.956757266317998 0.338689786142694 0.998876747371367
"Tram1" 9261.24431844738 -0.0744332152540508 0.148261824793573 -0.502038979741988 0.61564010190408 0.998876747371367
"Lactb2" 492.175293659217 -0.342307787612615 0.209806590534973 -1.63153972780257 0.102776484180566 0.893360426375
"Gm38319" 27.1322179671737 -0.586110782088685 0.607535580088382 -0.964734908206396 0.334677605935082 0.998876747371367
"Terf1" 1430.57154895033 -0.144662903573943 0.168454030584507 -0.858767837563678 0.390468615227843 0.998876747371367
"Rpl7" 15072.030577746 -0.226291643606035 0.217723318368371 -1.03935419183336 0.298640040028196 0.998876747371367
"Rdh10" 147.432831056892 0.308883011515736 0.281870759757478 1.09583204650777 0.273152281411819 0.998876747371367
"Stau2" 133.065333355572 -0.77190905874329 0.310653564652357 -2.48479060463095 0.0129627657816214 0.496612666446136
"Ube2w" 1295.88655408501 -0.0362668448246736 0.204190032883161 -0.177613198414174 0.85902675852171 0.998876747371367
"Eloc" 2292.76122759383 -0.371129826671526 0.174971084579549 -2.1210923368472 0.0339140327092815 0.676944619223605
"Tmem70" 1797.21167377155 0.0253689517112956 0.177874702574845 0.142622595254213 0.886588251478506 0.998876747371367
"Ly96" 63.2893660292442 -0.586331984847568 0.385057582253937 -1.52271247696376 0.1278306550408 0.929452175952297
"Gm5828" 19.4440639541924 -0.709949727581903 0.758652426173207 -0.935803673841827 0.349374279599753 0.998876747371367
"Rbm6-ps1" 20.4032043794979 0.11729151504758 0.63503407581771 0.184701135756452 0.853463455300052 0.998876747371367
"Il17a" 1.46126859550871 4.00184233695122 2.94311775969649 1.35972892140201 0.173915722416366 0.977985501025365
"Il17f" 3.84702730380342 2.7487882481286 1.82280790054827 1.50799667222301 0.131555378720388 0.932864422464314
"Mcm3" 2556.4740896131 0.0923277698078401 0.184351221568854 0.50082537572639 0.616494025073203 0.998876747371367
"Paqr8" 174.660193281267 0.188738632433759 0.337162174103843 0.559785904025013 0.575625479512778 0.998876747371367
"Tram2" 230.4806771358 0.103109915907674 0.271287539156729 0.380076122287743 0.70388890980418 0.998876747371367
"Tmem14a" 64.3678123006733 -0.30756492147719 0.407998707415455 -0.753837980089491 0.450946515125265 0.998876747371367
"Gsta3" 24.4300937769444 -0.122766425572251 0.744216553336667 -0.16496062204184 0.868974976427459 0.998876747371367
"Gm4956" 2098.68985863697 -0.610027756877377 0.153788071249476 -3.96667798692777 7.28813540955044e-05 0.0224531235535393
"Kcnq5" 127.80613160207 0.27181452288201 0.387991417965987 0.700568389648862 0.483572411264019 0.998876747371367
"Gm7658" 81.8504649029109 0.0262845064144967 0.379363248024067 0.0692858534699947 0.944762085971689 0.998876747371367
"Gm38243" 19.3251688346404 0.0114634887501188 0.716500080716612 0.0159992846597498 0.987234962381324 0.998876747371367
"Ogfrl1" 148.51186859598 0.293929175518681 0.316018472365489 0.930101247938252 0.352318664715362 0.998876747371367
"B3gat2" 19.6000685840438 -0.0748052244591135 0.646737663213852 -0.11566548341623 0.907917662838911 0.998876747371367
"Smap1" 1345.7616204694 0.00677988484301513 0.195546437513276 0.0346714822792659 0.972341701094255 0.998876747371367
"Sdhaf4" 1048.14185987465 -0.132140819851609 0.198928797046276 -0.664261895782086 0.506522704357438 0.998876747371367
