"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0610010K14Rik" 71.7574653676021 0.159370734626214 0.181443566121797 0.878348778259978 0.379754472316303 0.999914023153502
"0610012G03Rik" 45.5502614333816 0.237216224721139 0.226420730918072 1.04767891066907 0.294786567220966 0.999914023153502
"0610030E20Rik" 29.9226884420058 -0.0665205769770093 0.258403017095726 -0.257429567675545 0.796847180104856 0.999914023153502
"1110004F10Rik" 109.244933095207 -0.111430211136961 0.151286541565033 -0.736550720138318 0.461395612630827 0.999914023153502
"1110008P14Rik" 75.6773018318353 -0.138979640247688 0.182724058589843 -0.760598474663114 0.446896931115747 0.999914023153502
"1110012L19Rik" 14.1165321428134 0.169562952364788 0.370778376606197 0.457316184176728 0.647443798677267 0.999914023153502
"1110038F14Rik" 58.2407424537652 0.00833902414669027 0.196206712765347 0.0425012173597918 0.966099141316075 0.999914023153502
"1110059E24Rik" 18.4254153552148 -0.0320261474745328 0.325275537807272 -0.0984585182471008 0.921568209505998 0.999914023153502
"1110059G10Rik" 26.4888413894713 0.544621390460162 0.28898468116583 1.88460297709565 0.0594834600782687 0.999914023153502
"1110065P20Rik" 15.2865167617459 -0.265024042942585 0.354341317822193 -0.74793434920726 0.4544997576122 0.999914023153502
"1190007I07Rik" 21.5424803944551 -0.00558507733586842 0.303499197082462 -0.01840228043289 0.985317933229162 0.999914023153502
"1500009L16Rik" 13.6503566918652 1.01946050930828 0.406072206869689 2.51053997801784 0.0120546671743771 0.999914023153502
"1500011B03Rik" 26.4848238609565 0.250075091481727 0.277415034626167 0.901447507409676 0.367350431773012 0.999914023153502
"1600002K03Rik" 23.1179566637269 0.701276280518242 0.317649040179831 2.20770785304822 0.0272646450567357 0.999914023153502
"1600014C10Rik" 36.1590813724095 -0.346129611316699 0.261857473979459 -1.3218244492187 0.186226614908309 0.999914023153502
"1700012B07Rik" 18.5176354666826 0.28735641508413 0.358726658820471 0.801045609570772 0.423105242061875 0.999914023153502
"1700017B05Rik" 11.9900395649718 -0.151101650803545 0.396505133327028 -0.381083718981565 0.703141127920257 0.999914023153502
"1700021F05Rik" 10.5802903666566 -0.198624330296004 0.422578564606481 -0.470029355324659 0.638334044778999 0.999914023153502
"1700123O20Rik" 38.5593639826707 0.0382370900303407 0.23073100856541 0.165721505176452 0.868376121385884 0.999914023153502
"1810013L24Rik" 21.5399011306355 0.37031013496485 0.310691733960619 1.19188924096638 0.233304677405955 0.999914023153502
"1810030O07Rik" 24.2742357300426 0.0795256774322564 0.294869218439949 0.269698132117686 0.787392497670656 0.999914023153502
"1810037I17Rik" 197.956572342517 0.0591120795784196 0.144935796207134 0.40785010415191 0.683383726346105 0.999914023153502
"1810058I24Rik" 100.674202566198 0.0687686046918957 0.16842509275106 0.408303795881168 0.683050652842023 0.999914023153502
"2210016F16Rik" 40.8750158680699 -0.193431525909049 0.228520289463114 -0.846452305672715 0.397300469839335 0.999914023153502
"2210016L21Rik" 33.035231436988 -0.10055241892812 0.251202174691225 -0.400284826561386 0.688946742496825 0.999914023153502
"2300009A05Rik" 26.9106204873004 0.475010296546234 0.274307537042363 1.73167059741736 0.0833322285705371 0.999914023153502
"2310009A05Rik" 53.1860836020243 0.00186711612878413 0.205483581242768 0.00908644923108589 0.992750162208204 0.999914023153502
"2310009B15Rik" 18.1519138903091 -0.291526948253685 0.349648997425412 -0.833770296498203 0.404410436575221 0.999914023153502
