"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"0610009B22Rik" 37.0165596125222 0.0199564620132765 0.236350576745179 0.0844358507099921 0.932709904302435 0.999665298304309
"0610010K14Rik" 445.726524731454 -0.13617069132314 0.0731218882200477 -1.86224254649111 0.0625689097686325 0.999665298304309
"0610012G03Rik" 343.755495311235 -0.12630029855322 0.0842566878632136 -1.4989943440248 0.133875099360794 0.999665298304309
"0610030E20Rik" 173.921160155572 -0.0933168522315204 0.116440224745564 -0.801414222923639 0.422891883908159 0.999665298304309
"1110004F10Rik" 601.977156865058 -0.0845980561038733 0.0664991677585792 -1.27216714066259 0.203313739944925 0.999665298304309
"1110008P14Rik" 284.642895163714 0.0283300092414144 0.0904837130120274 0.313095122849884 0.754208394363681 0.999665298304309
"1110012L19Rik" 69.4526181559942 0.0285586520224457 0.16937008740037 0.168616858270472 0.866098019453191 0.999665298304309
"1110032A03Rik" 34.9139718984046 -0.476463664170041 0.259300679670497 -1.83749485259931 0.0661368756658696 0.999665298304309
"1110032F04Rik" 56.8484476090372 -0.537983845311085 0.209281733159103 -2.57062017401247 0.0101516598630474 0.882757777553375
"1110038F14Rik" 318.622576730061 -0.0394644613266626 0.0894235016895947 -0.441320912075787 0.658980688883618 0.999665298304309
"1110059E24Rik" 94.9821339114387 -0.0581302071619455 0.149858789999059 -0.387899883365602 0.698090124443939 0.999665298304309
"1110059G10Rik" 115.291092466357 -0.212211992410859 0.133992714787813 -1.58375768971404 0.11324887102149 0.999665298304309
"1110065P20Rik" 76.8253298577914 -0.158666712127233 0.167239613831913 -0.948738809494644 0.342753470241309 0.999665298304309
"1190007I07Rik" 154.602741085508 0.0117289082662432 0.116360536636071 0.100797990498501 0.919710822067513 0.999665298304309
"1500011B03Rik" 116.411923117617 -0.153020582212345 0.139025642974297 -1.10066444534002 0.271042725957539 0.999665298304309
"1600002K03Rik" 99.6002590800836 -0.0071162780498587 0.144882210796573 -0.0491176798775562 0.960825513907601 0.999665298304309
"1600012H06Rik" 51.6759063000128 -0.0804948153341755 0.204329210286047 -0.393946686435523 0.69362040088296 0.999665298304309
"1600014C10Rik" 166.377503613514 -0.0457691857649024 0.115027210029455 -0.397898773283142 0.690704804325408 0.999665298304309
"1700017B05Rik" 41.5411405662572 -0.158814613317682 0.221779245032055 -0.716093218257316 0.473933791044492 0.999665298304309
"1700021F05Rik" 66.3869565048892 -0.265042302047375 0.170805183942963 -1.55172282204198 0.120728559524817 0.999665298304309
"1700025G04Rik" 97.0594782302655 0.0759178879528838 0.149416906706996 0.508094362452285 0.61138716866483 0.999665298304309
"1700037C18Rik" 43.0011940695784 -0.225095349233166 0.225395094659882 -0.998670133317817 0.317954513408201 0.999665298304309
"1700037H04Rik" 44.6104521907261 -0.0960637270623717 0.222048361282014 -0.432625246625286 0.665287045047776 0.999665298304309
"1700056E22Rik" 40.7268674927745 0.120345804588433 0.22345290751144 0.538573455716934 0.590181207417975 0.999665298304309
"1700094D03Rik" 34.4643143379333 -0.3502875249369 0.24442446774068 -1.43311153819729 0.151825964575333 0.999665298304309
"1700123O20Rik" 203.719110464364 0.048892762116009 0.101458984483083 0.48189682131267 0.629879244306686 0.999665298304309
"1810013L24Rik" 98.2174845532198 0.00339183819073858 0.140462889295212 0.0241475752617471 0.980734894800469 0.999665298304309
"1810030O07Rik" 121.804023193912 -0.0228332912071618 0.13441322564108 -0.169873843130087 0.86510935227373 0.999665298304309
