"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Gm6085" 210.370921237442 -0.00323464187011608 0.651058335037858 -0.00496828271145317 0.996035900239031 0.99992867983387
"U6" 130.803910660148 0.936076470365058 0.809775478972452 1.1559703827447 0.247693271629775 0.99992867983387
"Gm6123" 56.4511795334299 0.878092467678991 1.22070230512465 0.719333832657362 0.471935254821003 0.99992867983387
"Mrpl15" 7541.9310347607 0.00853842202953431 0.182861601741046 0.0466933568788582 0.962757625015306 0.99992867983387
"Lypla1" 8376.3448701415 -0.169584980522694 0.198228411312951 -0.855502898900619 0.392272800263665 0.99992867983387
"Tcea1" 6127.33260926248 -0.0156000935013716 0.231274619951248 -0.0674526824632122 0.94622133010899 0.99992867983387
"Atp6v1h" 7341.56445467729 -0.0693397248873214 0.134544177117197 -0.515367713215278 0.60629608972321 0.99992867983387
"4732440D04Rik" 175.135634758386 -0.0233862606911852 0.792630037080014 -0.0295046359551782 0.976462121595008 0.99992867983387
"Rb1cc1" 2664.05771996097 0.173105308660644 0.431887566478306 0.400811049209354 0.688559243321466 0.99992867983387
"Gm37108" 134.518646325437 -0.681807341990928 0.708649645283604 -0.962121898357921 0.335988375263403 0.99992867983387
"ENSMUSG00000120372" 343.907092760748 -0.104827962082041 0.526289169574716 -0.199183202205644 0.842119438850974 0.99992867983387
"Pcmtd1" 2690.59206529 0.00531268191154628 0.284032489065965 0.0187044866910012 0.985076849020098 0.99992867983387
"Gm36964" 87.3609832654162 -0.0982228968415179 0.891588380129447 -0.110166192192026 0.912277573757886 0.99992867983387
"ENSMUSG00002075967" 47.3405418927528 -0.520254073469274 1.10533470100256 -0.470675599886074 0.637872411449261 0.99992867983387
"Rrs1" 4962.40418187141 0.044459302024404 0.165498290893976 0.2686390402236 0.788207466491885 0.99992867983387
"Vcpip1" 2106.0702735596 0.0241945909651378 0.268274581397538 0.0901859238363153 0.92813946989349 0.99992867983387
"Sgk3" 3390.85936442675 0.029551645111321 0.200352583166446 0.147498198646984 0.882738801451362 0.99992867983387
"Snhg6" 430.455084457031 -0.137895511292062 0.505673607327133 -0.27269667487877 0.785086390930493 0.99992867983387
"Cops5" 5793.98944633854 -0.152357962931121 0.148103307713899 -1.02872761778853 0.303607688213451 0.99992867983387
"Cspp1" 515.624541834118 0.999743714808267 0.476558365485913 2.09784107721811 0.035919186514724 0.706483547980533
"Arfgef1" 3877.18458795235 -0.090664103972312 0.208655200628187 -0.434516387319148 0.663913497438869 0.99992867983387
"7SK" 261.015035057189 0.221565031920511 0.675743998474064 0.327883092444535 0.743000057969035 0.99992867983387
"Prex2" 17.3270616253358 -0.0875486381441635 2.67083752666062 -0.0327794698367994 0.973850450110607 0.99992867983387
"Ncoa2" 4952.37916614302 0.390016443244795 0.162634990322022 2.39810905680599 0.0164799578397626 0.5302391867002
"Gm38376" 59.811118758598 -0.300948541377895 1.36320867857517 -0.220764836747112 0.825275544264531 0.99992867983387
"Gm38120" 45.1089527645543 0.535953029869267 1.98958008749087 0.269379972808824 0.787637296121324 0.99992867983387
"Gm38380" 38.7823739622634 0.367517873765368 1.47215346052684 0.249646442181269 0.802860779784392 0.99992867983387
"Tram1" 38534.6404365972 -0.0626908232796634 0.14874977302974 -0.421451555876523 0.67342537888296 0.99992867983387
"Lactb2" 1580.88629589031 0.266355782582322 0.275481792535033 0.966872547660115 0.333607751737424 0.99992867983387
"Gm5523" 63.5459653217199 0.0964511962502046 1.05431564810774 0.0914822770802207 0.927109388021408 0.99992867983387
