"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Gm6085" 161.556642097601 -0.0806593916041287 0.45653699584714 -0.1766765724089 0.859762443875375 0.95913505199615
"U6" 91.5342950403518 -0.37831977253065 0.577602495896098 -0.654982925487053 0.512478747388067 0.801990462781809
"Gm6123" 29.8074334241177 -0.604517544718527 0.914176560581176 -0.661270011489042 0.508439169601986 0.799820590641183
"Mrpl15" 4462.40487268805 0.00448576276494411 0.131465738846736 0.0341211543349225 0.97278053958571 0.991512630202405
"Gm37144" 145.841470059448 0.341113169698408 0.515115194409938 0.66220754774891 0.507838217667866 0.799517108996173
"ENSMUSG00000120403" 22.1345784258106 0.100465808055155 1.12630389677049 0.0891995564813604 0.928923317850759 0.979818948375019
"Lypla1" 5556.12992396746 0.113479844420672 0.203705651913759 0.557077544754206 0.577474449014958 0.837315147702329
"Tcea1" 3198.93265643105 0.128519768170007 0.194735052598415 0.659972441813245 0.509271514352755 0.800487884211053
"Atp6v1h" 4736.49030246934 0.0826839547106932 0.121494307128197 0.680558263717225 0.496151043344802 0.791843136006504
"4732440D04Rik" 243.217051848617 -0.104733015172582 0.403374185668557 -0.259642334322896 0.795139677825769 0.935894295874906
"Rb1cc1" 2780.57309508822 -0.0176416322285262 0.216417648961236 -0.0815166060309904 0.935031119124249 0.982593223316321
"Gm37108" 448.521330255908 -0.438091158496341 0.26569112743259 -1.64887387369565 0.0991734765800207 0.309966503494128
"ENSMUSG00000120372" 184.209035642964 0.130746741440692 0.422266489206681 0.309630872405547 0.756841676489974 0.922471840966989
"Pcmtd1" 1727.16475795607 0.131611524854389 0.206973599047136 0.635885569272126 0.524851009063697 0.809725893039272
"Gm38372" 141.606051854041 -0.0464320943724818 0.423005232347516 -0.109767186837859 0.912594014862267 0.976333340349131
"Gm26901" 39.0770628634081 0.339027853922763 0.82276409577645 0.412059611817187 0.680295730654183 0.889709095104121
"Sntg1" 33.8457262794327 -0.190742122637619 0.824461003140567 -0.231353723112479 0.81704001352961 0.946286201655567
"Gm15452" 31.5349510328425 2.18552221531656 0.979259030990429 2.2318121622081 0.0256273801633658 0.116581860139027
"Rrs1" 2066.90578965585 -0.239606183965938 0.209992309609618 -1.14102361372839 0.253860096494443 0.560916056048136
"Vcpip1" 1647.22659345871 -0.150333713182326 0.218002767356643 -0.689595434980814 0.490448638953807 0.788517178520877
"Sgk3" 1289.67308449394 -2.10024136366122 0.273927755992618 -7.66713601566472 1.7587924378867e-14 7.35878756011797e-13
"Snhg6" 573.855479691672 -0.637626295056316 0.297396269494884 -2.14402923123178 0.0320305446869803 0.138722393201774
"Mcmdc2" 80.8448860506324 -0.614549780295896 0.532107856363181 -1.1549346113703 0.248117204510802 0.553134262400466
"Cops5" 2866.28570441885 0.0437806318714528 0.206321350352243 0.212196322856108 0.831953875358832 0.951827060258136
"Cspp1" 841.600695088463 0.225297326141854 0.248786839861876 0.905583777127988 0.365156198661066 0.680193463848387
"Arfgef1" 3485.77441746579 0.0919674713011677 0.22848745594462 0.402505559532592 0.687311997653442 0.892455119562628
"7SK" 167.489192749495 -0.0246782137879743 0.458279823273815 -0.0538496624435275 0.957054941981573 0.988977634727512
"Prex2" 27.8235364737423 -0.168892115337769 0.86993704812321 -0.194142916090463 0.846063978675489 0.955893319399771
"Gm38178" 32.2837459474409 0.332415736491671 0.835728866061325 0.39775548026515 0.690810436926477 0.894278921380188
"Ncoa2" 1407.36041014946 -0.182756105691846 0.314435806810863 -0.581219128779999 0.561092777047498 0.830107205066931
"Gm38376" 46.6518227240735 0.355113966268354 0.770759569027083 0.460732478114555 0.644990550544862 0.87314226157963
"Gm38120" 88.8244134997137 -0.418513232974944 0.530187688463544 -0.789368071121705 0.42989691167933 0.739592384237794
"Gm38380" 37.8945572728964 1.12065919229853 0.811958956067077 1.38019192217143 0.167527560476092 0.439917560480316
"Tram1" 20211.4583493636 -0.0477088858969591 0.165524325328241 -0.288228849761813 0.773171566481018 0.928110711380561
"Lactb2" 951.332843063713 -0.334717348207162 0.235955623786742 -1.41856058709447 0.156027163240718 0.419980475424063
"Gm38319" 19.619924360654 0.143624528997553 1.25799597825165 0.114169306961665 0.909103582281873 0.975063186816646
"Gm5523" 51.6424521312217 -0.0847255997775443 0.695579238800619 -0.121805820316943 0.903052804331283 0.972921135376976
"Rpl5-ps1" 161.591995668493 -0.469206954209756 0.416126155136391 -1.12755939134844 0.259506044830774 0.568136713446523
"Gm10566" 27.9578795480907 0.130400503130482 0.888086766110665 0.146833066437376 0.883263784303758 0.96651278983406
"Terf1" 1887.44927498318 -0.244545753397525 0.223077970172071 -1.0962344386086 0.272976192120617 0.58361690225759
"Rpl7" 22806.0881769107 -0.385682613870475 0.156243518107911 -2.46847113109741 0.0135691596696368 0.0712517119198799
"Rdh10" 251.80368530296 1.05806483639113 0.532561443166814 1.98674697533392 0.0469504433082365 0.18338373301126
"Stau2" 50.9354658951589 0.534100367549879 0.945839069833187 0.564684188446641 0.572288590746294 0.835319264944264
"Ube2w" 1942.45213274929 -0.213004718958506 0.17605311670875 -1.20988894113637 0.226321511292878 0.523499105076192
"Gm38342" 17.0113679237159 -0.196587431296944 1.76769729077179 -0.111211027093396 0.911449007521465 0.976123075657345
"Eloc" 5323.65052904704 0.0719102422372606 0.158546676851047 0.453558810979177 0.650146405020242 0.875605354841992
"D030040B21Rik" 31.1036423310273 0.370428317868954 0.852829392555983 0.434352194122621 0.664032707342111 0.880646069278288
"Tmem70" 2493.46357242272 0.0392877246530614 0.161472527834868 0.243309033306517 0.80776600706298 0.94281136585272
"Ly96" 479.756188072917 1.46175354354349 0.282742075304259 5.16991870407154 2.34195852298096e-07 4.00275917489883e-06
"Pi15" 40.9554017256901 0.00702194661924336 0.718994840537668 0.00976633798094059 0.992207713582765 0.997942090811882
"Gm10075" 63.3752025199521 0.314464795483832 0.623527006088077 0.504332278174671 0.614027898624705 0.857049882521272
"Il17a" 3607.44542100969 11.9890005975836 0.852168034371142 14.0688222439967 5.9044543220269e-45 1.28667900434169e-42
"Il17f" 2736.15038102464 7.32238667170429 0.64543856183606 11.3448236666779 7.86846956932938e-30 8.94610779295492e-28
"Mcm3" 3601.4032278101 0.827729880937101 0.169968960129902 4.86988848025248 1.11661250067646e-06 1.73978650800533e-05
"Paqr8" 382.213910897786 1.79255099927994 0.607486840060261 2.95076515419186 0.00316987834420373 0.0214654256454711
"Tram2" 208.855571360537 0.111126364551437 0.46005781222082 0.241548695836726 0.80912987970418 0.943183344172257
"Tmem14a" 155.539717055374 0.566117957306044 0.656470863099834 0.862365702923742 0.388486307592503 0.703363739456077
"Gm38224" 50.5862109760633 -1.66668444789789 0.671841286817652 -2.48077109966338 0.0131098530062385 0.0693271296487637
"Gsta3" 44.2955117811699 0.1645291444737 0.785252612287122 0.209523842263311 0.834039324980452 0.952338040094846
"Gm28836" 76.7184608758547 -0.119399306196224 0.637046978808756 -0.187426218423474 0.851326467501173 0.957309624203111
"Gm4956" 6903.68539125624 -2.11989407162371 0.209926944345688 -10.0982466935396 5.62386465796236e-24 4.66870034303859e-22
"Gm21909" 36.8271483492009 -2.58855563295303 0.857408380950305 -3.01904633832015 0.00253571743998852 0.017793115667898
"Khdc1a" 30.4324971649259 -2.86481604196869 0.99749835717828 -2.87200076205907 0.00407881983624428 0.0265106392836258
"Kcnq5" 231.171263497025 -0.197138768894647 0.527291175918388 -0.373870790747236 0.708500448735542 0.903498281913191
"Gm7658" 118.777758752882 -0.241723765542343 0.453731333873878 -0.532746468000232 0.594209094822789 0.845193236093093
"Ogfrl1" 267.265998018158 0.643021560695468 0.40872919360684 1.57322151378792 0.115667535446352 0.344630389508784
"B3gat2" 55.4262120326893 1.26431990942858 0.827998744065731 1.52695872848837 0.126771274401548 0.366171077938198
"Smap1" 4681.95389601927 0.561729343900709 0.163222329366449 3.44149814600167 0.000578502435832841 0.00498446085569318
"Sdhaf4" 1623.35662609204 -0.108268926902047 0.196898746727827 -0.549871081971419 0.582407800002751 0.839456703382974
"Tubb4b-ps2" 25.2215707467323 -0.0818540973804602 0.992014601232359 -0.0825129965615168 0.934238783815297 0.982387676299311
"Gm28439" 410.324513297787 -0.037635763222566 0.276587966661879 -0.13607158574825 0.891764689861454 0.968849006009265
"Gm10222" 36.0006273389276 -0.00219352640584821 0.801607286673378 -0.00273641026262525 0.997816663224212 0.999534708597223
"Gm28438" 217.429052224553 0.203700720494109 0.353274898968261 0.576606832495082 0.56420508258204 0.831287233140409
"Gm28437" 2747.74969778472 -0.00718180667194507 0.203456641470632 -0.0352989542146833 0.971841357228379 0.991177045780337
"Gm10925" 2465.52660505862 -0.260781660974441 0.197939092102892 -1.31748437463219 0.187676315257935 0.46920327204805
"Gm28661" 1236.96531006696 -0.119888334541614 0.213937510768052 -0.560389499303819 0.575213792482556 0.836223314513259
"Gm29216" 1457.21615147932 -0.164883684737857 0.231600436045796 -0.711931667975157 0.476507090931492 0.777578575990655
"Lmbrd1" 3260.77167751916 0.382522176249077 0.151359082667768 2.52724956776271 0.0114959779007288 0.0626291296050121
"Gm9443" 34.682904789364 0.184657063742734 0.777802605369599 0.237408646445698 0.812339782564644 0.94460407651093
"Adgrb3" 27.9482140103385 -0.0415445461129894 0.88948510403094 -0.0467062865074628 0.962747319907462 0.989832936616155
"Gm37602" 53.5755547905993 -0.464074013115555 0.657212651929842 -0.706124588065744 0.480110662127484 0.780886030745548
"2900022M07Rik" 50.43976591379 -0.380031845459559 0.665820498462929 -0.570772222148277 0.568154054786955 0.833037764658193
"Gm5524" 28.4006182270519 0.283740733952305 0.894622513626756 0.317162523444703 0.751120284961134 0.920037206594196
"Gm7846" 279.255666738433 0.0615836487877772 0.309747892124355 0.19881862105797 0.842404629275863 0.954814249598147
"Gm5525" 41.5179212091782 -0.326502493327929 0.728914609390342 -0.447929687677701 0.654203941930177 0.877063242195765
"Phf3" 2065.14243291928 -0.35710291734487 0.180088253305736 -1.98293287202145 0.0473749282538592 0.184326421420858
"Gm37906" 30.5113754826042 -0.375003075450821 1.05389190726574 -0.355826885912564 0.721970213078883 0.907669282308307
"Ptp4a1" 1253.52005409182 -0.0286067165447182 0.244503133885031 -0.116999386020833 0.906860540024829 0.974239967272328
"5S_rRNA" 90.9217409543609 -0.34989298344989 0.503420954797478 -0.695030630162483 0.487036106158496 0.786549629249702
"Semp2l1" 24.4507802684427 -0.0601126182868299 0.929280159698166 -0.0646872933414985 0.948422980076962 0.985805455102234
"Prim2" 675.164441935538 0.434342393657644 0.261863732989282 1.65865806883392 0.0971847133232139 0.30659888187014
"1700001G17Rik" 53.7723327277405 0.275125185133318 1.00770182010142 0.273022415604676 0.784835984774597 0.933244635867024
"Rab23" 375.972750183414 0.607186020217374 0.38955635716184 1.55866027868497 0.119076807855765 0.350923199710172
"Bag2" 146.92241470153 1.12032341505631 0.474396726985479 2.36157492522204 0.018197494284628 0.0896660823647931
"Zfp451" 1359.69615554611 -0.0354570315054607 0.25213859775133 -0.140625163389026 0.888166068265136 0.967764857174405
"Bend6" 191.729341479393 -0.660894745003903 1.58959617945078 -0.415762665730769 0.677583680618234 0.888235270189664
"Dst" 730.146526299039 2.10244442429199 0.288728201950827 7.28174251800333 3.29535588373747e-13 1.19685494944076e-11
"Gm3052" 11.8326526290334 1.55536332628591 1.36245552303781 1.14158833076473 0.253625176789356 0.560589641884169
"Gm37233" 23.3020847552337 -0.987186046107566 1.07073140321067 -0.921973562321431 0.356542366013308 0.672538494584818
"Ccdc115" 3201.81548357607 -0.274433569007106 0.165901692700002 -1.65419390568462 0.0980881207289746 0.308001472187132
"Imp4" 5457.14463286444 0.102943222083217 0.132214438479245 0.778608019421248 0.436210653632781 0.745549581208969
"Ptpn18" 7186.17251606325 -0.349380647079624 0.160523578111128 -2.17650672375215 0.0295173914638543 0.130165225426609
"Gm28417" 227.936422174815 -0.121835814405388 0.350457401369761 -0.347647999240972 0.728104553909488 0.909302170221274
"4930568A12Rik" 107.754190277868 1.17845224299064 0.572690087148795 2.05774863130197 0.0396142694385797 0.162922119919087
"Arhgef4" 494.720972324504 -0.316655202499065 0.333780002743579 -0.948694349260731 0.342776088833764 0.659896544024755
"Gm38336" 21.0175506285841 -2.48216097684679 1.61290128814614 -1.53894165445163 0.123818540819458 0.360161828968724
"Fam168b" 3199.70606445467 -0.0409077516373329 0.216030185338922 -0.189361276402899 0.849809672306565 0.957206626786638
"Gm37127" 29.1146717229643 -1.7025900795742 1.02379433581601 -1.66301963198221 0.096308505775106 0.305150256007086
"Plekhb2" 5787.59332134032 1.89410534393856 0.217416152628315 8.71188879501811 2.98852791195365e-18 1.73666677550195e-16
"Gm37068" 46.7423458951647 -0.817552885920758 0.916453538104628 -0.892083288380977 0.372348291580736 0.686503489412661
"Hs6st1" 454.711156303202 -0.680571716108523 0.380681313987457 -1.78777284595311 0.07381266349797 0.253111207178369
"Uggt1" 2793.96330750529 0.041145640808529 0.158102664190436 0.260246347012652 0.794673755792147 0.935894295874906
"Neurl3" 4795.48765570317 -0.511459322568515 0.166320896240927 -3.07513568125337 0.0021040681080744 0.0151643677609956
"Arid5a" 5339.56413039781 -0.518444839847816 0.190887795796203 -2.71596640154681 0.00660826239713506 0.0395286454483603
"Kansl3" 1362.78032039701 -0.548605941832176 0.222032468971818 -2.4708365599529 0.0134797410086266 0.0708533120352934
"Fer1l5" 22.0757824113854 -2.12921829156946 1.18251285395929 -1.80058786206037 0.0717678637191533 0.248244660880405
"Lman2l" 1188.10661784957 -0.00902785530971953 0.289296585930775 -0.0312062283095169 0.975105072862205 0.991790605771387
"Cnnm4" 267.573868195218 -0.0386468799081245 0.386084201929763 -0.100099614837789 0.920265241112718 0.977445831165812
"Cnnm3" 454.045886464012 -0.04202434245791 0.286628111375545 -0.146616262641626 0.88343491667525 0.96651278983406
"Ankrd23" 58.5477366325043 0.0642297169223539 0.656133461278719 0.0978912381593502 0.922018657506593 0.978059139765968
"Ankrd39" 1028.72353371751 -0.46725824002137 0.26049863593597 -1.79370705087385 0.0728599393193602 0.250860752231899
"Cox5b" 5561.85564344258 0.341367297629689 0.155721673474433 2.19216304328849 0.0283677359292821 0.126123484480146
"Actr1b" 2427.44246458637 -0.493313378418026 0.264812760203197 -1.86287616215886 0.0624796913430742 0.225376299094971
"Zap70" 11217.3475938406 0.551251086093915 0.151777574558525 3.6319666307578 0.000281269499208217 0.00265530592212811
"Tmem131" 1220.54789999597 0.383316205090474 0.198682055415891 1.92929454191571 0.0536943069570868 0.202029658550765
"Gm38115" 42.4461038516451 -0.306914080254885 0.932017062272544 -0.329300924498671 0.741928245404153 0.91519642021828
"Vwa3b" 39.2736488716861 1.33727389747031 1.43080364107701 0.93463132122288 0.349978331759029 0.666079576091602
