"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Gm6085" 151.961704308337 0.125234258294757 0.401573365666885 0.311858975225567 0.755147701678837 0.99981293816488
"U6" 81.8650253219191 0.00431071716297939 0.496180743031412 0.00868779617814891 0.993068228761306 0.99981293816488
"Gm6123" 24.212510731591 0.0638919524447413 0.748182300049006 0.0853962362388904 0.931946385280534 0.99981293816488
"Mrpl15" 4319.9577606291 0.109039947976693 0.166221645285192 0.65599126870396 0.511829742116283 0.99981293816488
"Gm37144" 157.119398255356 0.048679571417295 0.420180019317578 0.115854084390677 0.907768185916013 0.99981293816488
"ENSMUSG00000120403" 16.9509660521674 1.05066510047208 1.10278559116074 0.952737421393216 0.340723127987472 0.99981293816488
"Lypla1" 5570.82004841369 0.0905325252322828 0.199230106244376 0.454411870469191 0.649532410154794 0.99981293816488
"Tcea1" 3243.66366168068 0.0711770135165803 0.14556708842284 0.488963640667367 0.62486743844366 0.99981293816488
"Atp6v1h" 4915.79432386162 -0.0326520421137657 0.13816736691443 -0.236322388151088 0.813182515644709 0.99981293816488
"4732440D04Rik" 217.38163927427 0.260187330685344 0.410854651621574 0.633283156606427 0.526548750473176 0.99981293816488
"Rb1cc1" 2960.38762546141 -0.179833051486808 0.188456556893051 -0.954241414846941 0.339961455424857 0.99981293816488
"Gm37108" 356.672835672928 0.304727392165744 0.348333016741917 0.874816275000195 0.381673880349223 0.99981293816488
"ENSMUSG00000120372" 166.193598464039 0.443047527599892 0.379830110239731 1.16643603457414 0.243438196443435 0.99981293816488
"Pcmtd1" 1765.41406738216 0.0486200973878897 0.230531199931897 0.21090462983862 0.832961691298551 0.99981293816488
"Gm38372" 125.049820642535 0.354396456106195 0.377392654850165 0.939065590046791 0.347697069824422 0.99981293816488
"Gm26901" 44.6322570784663 -0.122926471789444 0.753473004120745 -0.163146484501979 0.870403100720219 0.99981293816488
"Sntg1" 35.8098845848469 -0.297210079522875 0.624397038676261 -0.475995338083231 0.634077699177059 0.99981293816488
"Gm15452" 40.5100595564721 0.39528352133665 0.699950608046012 0.564730592120102 0.572257022869244 0.99981293816488
"Rrs1" 1836.96778686229 0.152605105423912 0.284781415407994 0.535867501063162 0.592050126590312 0.99981293816488
"Vcpip1" 1741.00223948111 -0.261148532463889 0.245331298044651 -1.06447295777304 0.287114498481509 0.99981293816488
"Sgk3" 572.349623209666 -0.0659290245350973 0.303985949511587 -0.216881815232004 0.828300449660024 0.99981293816488
"Snhg6" 443.689813405632 0.176674496792251 0.37591457728964 0.469985755982333 0.638365194246863 0.99981293816488
