"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"Gm6085" 185.164036411314 -0.577804252467451 0.3384977819088 -1.70696614083908 0.0878283459288022 0.632248619465827
"U6" 98.0308991280453 -0.0247355983877251 0.525025659426121 -0.0471131228419623 0.962423068436948 0.998387098369769
"Gm6123" 32.1347293005993 0.0451941071283781 0.871744613566411 0.0518432880743405 0.958653563012504 0.998387098369769
"Mrpl15" 4093.79132919737 -0.019169432532712 0.161126402637779 -0.118971392763022 0.905298020049658 0.998387098369769
"Gm37144" 139.513118263433 -0.210309898833642 0.409407166430606 -0.513693740798964 0.607466128769574 0.998387098369769
"ENSMUSG00000120403" 27.0778823533497 0.319768199235883 1.20385971598376 0.265619153951487 0.790532532640529 0.998387098369769
"Lypla1" 4894.62615708429 -0.00580250136937735 0.113655780281327 -0.0510532887549993 0.959283057591658 0.998387098369769
"Tcea1" 3058.47326344632 0.139765082970749 0.131451504951559 1.06324444913928 0.287671109811726 0.904621240743301
"Atp6v1h" 3592.78235028448 0.275842571086764 0.140193645094782 1.96758255982483 0.0491160880233001 0.494088764917578
"4732440D04Rik" 268.0031429912 -0.806988894676956 0.481023522056367 -1.67764954866883 0.093415533885801 0.644213324517743
"Rb1cc1" 4615.39149055065 0.117007848730282 0.110487044352537 1.05901872401382 0.289591252485428 0.906694269552193
"Gm37108" 359.892003106553 -0.138803866567723 0.249530721114543 -0.556259629867407 0.578033380529207 0.998387098369769
"ENSMUSG00000120372" 85.8860122041845 0.0903781057486348 0.673670142870361 0.134157802160496 0.89327779318935 0.998387098369769
"Pcmtd1" 2426.03237017857 0.0190712015083383 0.193171968317347 0.0987265475133932 0.921355389965744 0.998387098369769
"Gm38372" 121.499266763732 -0.158899537154821 0.388432793821268 -0.409078583689142 0.682481992351875 0.998387098369769
"Gm26901" 34.4522546889295 0.0438601954497995 0.771850873254566 0.0568247014670849 0.954684836801549 0.998387098369769
"Sntg1" 31.2903404801949 0.349640353041721 0.731938124632635 0.47769113436632 0.63287005532346 0.998387098369769
"Gm15452" 10.3013364593758 1.0610273705861 1.25108582683564 0.848085197535769 0.396390524693622 NA
"Rrs1" 1787.88028993639 0.0532886639455326 0.20721288936023 0.257168673773439 0.797048565617668 0.998387098369769
"Vcpip1" 1865.34333372875 -0.528131555702305 0.208045276110326 -2.53854144432598 0.0111315617614866 0.245604346989734
"Sgk3" 2539.5995272259 -0.0472972953414818 0.185921639541703 -0.254393708328248 0.799191411149566 0.998387098369769
"Snhg6" 586.532274050103 0.0546610524658132 0.240363343236233 0.227410102263769 0.820104865590373 0.998387098369769
"Mcmdc2" 65.9969361948214 -0.106325889075129 0.554225245299387 -0.191845986766071 0.847862847724174 0.998387098369769
"Cops5" 3235.25457988143 0.0575693055604642 0.111203161603484 0.517694863440469 0.604671182638208 0.998387098369769
"Cspp1" 1249.73702804435 0.157409631447763 0.275779127881095 0.57078152598855 0.568147747265677 0.998387098369769
"Arfgef1" 3365.7759727689 0.313992290782482 0.13566980371886 2.31438597370678 0.0206465595852415 0.342726318122302
"7SK" 198.187212117442 -0.209394745172619 0.326922256678265 -0.640503180481503 0.521845522094484 0.998387098369769
"Prex2" 34.6508141004597 0.426463709127358 0.783502766165663 0.544304024878436 0.586232277713416 0.998387098369769
"Gm38178" 32.3299768305814 -0.0157644187277988 0.7627646166992 -0.0206674751065643 0.983510914580484 0.998387098369769
"Ncoa2" 2080.14141769476 -0.200977675869643 0.154666426856181 -1.29942664322701 0.193797553100481 0.811595844728739
"Gm38376" 111.746876644677 -0.536523497082193 0.865104384250843 -0.62018353721188 0.535136958800767 0.998387098369769
"Gm38120" 102.903792765196 -0.402341347917063 0.478520324208864 -0.840803049655733 0.400458278397643 0.979327040597442
"Gm38380" 103.509935826827 -0.28728799111064 0.555412345555561 -0.517251720113053 0.604980451992342 0.998387098369769
"Tram1" 18825.4954413218 0.0331843281071676 0.0744901397472567 0.445486184074311 0.655968441941663 0.998387098369769
"Lactb2" 1088.77391844371 -0.240561299257211 0.139436799539623 -1.72523537582237 0.084485062836917 0.621756360147205
"Gm38319" 32.9884662995874 -0.478443993236232 1.22806489914754 -0.389591782623494 0.696838429480045 0.998387098369769
"Gm5523" 35.79032518952 0.221704584540272 0.799389883582106 0.277342244496269 0.781517324849737 0.998387098369769
"Rpl5-ps1" 131.923862546146 -0.123079718885065 0.405915156427309 -0.303215381185466 0.761725727966043 0.998387098369769
"Gm10566" 16.2282842556604 0.546304805159552 1.03748625587201 0.526565823949523 0.598495130268268 0.998387098369769
"Terf1" 2001.93073500271 -0.209335096999674 0.171194071011094 -1.22279408254804 0.221407481048186 0.842919887924641
"Rpl7" 21454.4387348875 -0.0611745979249867 0.0733640515512163 -0.833849775625874 0.404365642158659 0.983190477510265
"Rdh10" 226.964808268955 0.0370535836660682 0.443162135673517 0.0836117995725293 0.933365085087757 0.998387098369769
"Stau2" 36.867718469717 -0.766977282949691 1.28642541530305 -0.596208123553755 0.551036199388695 0.998387098369769
"Ube2w" 2117.34820702663 0.0935670673506865 0.151020265351882 0.619566302129534 0.535543358086845 0.998387098369769
"Gm38342" 55.0675066703257 -0.624781519560716 1.06516593435964 -0.586557924363517 0.557500648128902 0.998387098369769
"Eloc" 4726.44192974641 -0.0940970031141709 0.0982042168537641 -0.958176808785011 0.337973609410831 0.934903297767008
"D030040B21Rik" 23.1467294801151 -0.0288457532039505 0.832661485276435 -0.0346428335091949 0.972364545781869 0.998387098369769
"Tmem70" 2550.94984353588 -0.0161652845226736 0.140478191730197 -0.115073267413071 0.908387048635864 0.998387098369769
"Ly96" 162.61451270385 -0.413966402589301 0.454625933934193 -0.910564865948061 0.36252468955816 0.955414809383739
"Pi15" 35.0880249416547 -0.0293429028649704 0.72459010262611 -0.0404958648463784 0.967697803713665 0.998387098369769
"Gm10075" 49.7334101492017 -0.159351531281486 0.607066986490563 -0.262494147808453 0.792940496600017 0.998387098369769
"Il17a" 2.66592284788975 0.618541488715918 2.25432916311903 0.274379402456081 0.783793070299276 NA
"Il17f" 2.67292412385028 -0.90568328621222 2.62110522793515 -0.345534882216727 0.729692291002153 NA
"Mcm3" 2904.16856086883 0.846895707019614 0.187121929840705 4.52590301810466 6.01381558114797e-06 0.00210049991193631
"Paqr8" 211.269103193797 -0.665542413901929 0.565801507377931 -1.17628250406441 0.239482004844491 0.862330431733257
"Tram2" 351.486864209973 -0.0510355001484008 0.349685084545932 -0.145947031783385 0.883963203069034 0.998387098369769
"Tmem14a" 142.597536826995 -0.397962403584302 0.494874232332044 -0.804168771748216 0.421299511310141 0.988824095343003
"Gm38224" 60.355730516035 -0.198578813825319 0.596887674574157 -0.332690424487309 0.739367978359486 0.998387098369769
"Gsta3" 103.782097757163 0.0692450699710107 0.642478761638359 0.10777799065985 0.914171802084049 0.998387098369769
"Gm28836" 200.66066808099 -0.66298466214222 0.39287873469878 -1.68750457479082 0.0915063710043304 0.644017894149034
"Gm4956" 13846.9399505072 -0.112372792456624 0.165323501020906 -0.679714570298231 0.496685208483427 0.998387098369769
"Gm21909" 191.918629489616 0.0472290918208217 0.342140460587436 0.138040066175547 0.890208752408501 0.998387098369769
"Khdc1a" 26.2322386768459 -0.0720995690057718 0.85796739373817 -0.0840353252722501 0.933028345585371 0.998387098369769
"Kcnq5" 219.37249596752 0.699138820205941 0.609110984686456 1.14780202259171 0.251050302175618 0.87463690502473
"Gm7658" 99.2992448082219 -0.414539339164316 0.469817864554702 -0.882340520527502 0.377592690187307 0.965181295117366
"Ogfrl1" 101.383471009419 1.12182111022264 0.609069369223143 1.84186098810634 0.065495486311596 0.565122530957766
"B3gat2" 51.8470813051936 -0.828456566389186 1.22108987379215 -0.678456667416605 0.497482189776331 0.998387098369769
"Smap1" 3733.8597174768 -0.123631016923206 0.100025246877224 -1.23599811830464 0.216459263113532 0.836593328024224
"Sdhaf4" 1827.11646271145 -0.30379200175375 0.118500988835298 -2.56362419199712 0.0103585634997184 0.237195232063037
"Tubb4b-ps2" 21.6212672536729 -0.765706421738859 0.851849374847864 -0.898875369692688 0.368719048630772 0.960870404267942
"Gm28439" 351.650510256693 -0.318698076261591 0.240815289883366 -1.32341296275642 0.185698083315687 0.803010775210958
"Gm10222" 19.431915218869 0.291499942276299 0.942192775129499 0.309384607875213 0.757028977576273 0.998387098369769
"Gm28438" 183.250345898056 -0.320602487323409 0.323888918016127 -0.989853216612511 0.322245869121632 0.925656422900325
"Gm28437" 2312.52095127759 -0.267457563775736 0.102413568123315 -2.61154423849088 0.00901343255455269 0.220836449489114
"Gm10925" 2020.14388030717 -0.286302002042827 0.109978123116682 -2.60326321207603 0.00923410298532994 0.223328490719276
"Gm28661" 1019.6921661443 -0.34633749359346 0.154020643345841 -2.24864333812571 0.0245351968086616 0.365764034413996
"Gm29216" 1222.62963298715 -0.334568907774687 0.159503660922391 -2.09756256276447 0.0359438051121859 0.436064039868635
"Lmbrd1" 3121.95299223742 -0.0480992918365066 0.126397174897084 -0.380540877402287 0.703543958936763 0.998387098369769
"Gm9443" 35.4207545789607 -0.255283071183063 0.727888627891054 -0.350717213322465 0.725800510494985 0.998387098369769
"Adgrb3" 17.8048539647362 0.160878175427016 0.958399459336036 0.167861296101388 0.866692399246479 0.998387098369769
"Gm37602" 42.9372112428766 -0.144160249065226 0.629232889507386 -0.229104758300359 0.818787495229643 0.998387098369769
"2900022M07Rik" 39.5891175282106 -0.0828154291641903 0.661072176137946 -0.125274413526231 0.900306307637439 0.998387098369769
"Gm5524" 22.3666547325392 -0.31029251856865 0.853282879614317 -0.363645545904895 0.71612271120043 0.998387098369769
"Gm7846" 229.604116681941 0.110992189643321 0.318016241587205 0.349014217290803 0.727078636061394 0.998387098369769
"Gm5525" 32.8518877734139 -0.338466327647727 0.75802899116795 -0.44650842064263 0.655230031343879 0.998387098369769
"Phf3" 2592.54954985121 -0.159821737959716 0.136261199263585 -1.17290717257342 0.240833032932827 0.86429422260887
"Gm37906" 16.7808275384861 0.481387594745859 1.16354903925889 0.413723511862012 0.679076606003079 0.998387098369769
"Ptp4a1" 1990.23190541095 0.0689629545470576 0.152725520598109 0.451548335058755 0.651594396797963 0.998387098369769
"5S_rRNA" 99.8090888184329 -0.387254073276463 0.552283393499128 -0.701187248855916 0.483186166383024 0.998387098369769
"Semp2l1" 21.211853161144 -0.59646329941699 0.876460274872132 -0.680536604473042 0.496164752564658 0.998387098369769
"Prim2" 613.319231310461 0.139526650996386 0.351824574501492 0.396580174065682 0.691677075002274 0.998387098369769
"1700001G17Rik" 19.8563423726503 1.65654793395158 1.67206244130135 0.990721334941482 0.321821670313886 0.925656422900325
"Rab23" 204.661696957179 0.335987779629546 0.562397172926333 0.597420818958412 0.550226457436265 0.998387098369769
"Bag2" 157.380592051395 0.668140329653451 0.631425760838971 1.05814550354375 0.289989111883768 0.906694269552193
"Zfp451" 1512.69288685724 0.396077070479246 0.224948176912773 1.76074807946912 0.0782810511387425 0.60181633152511
"Bend6" 164.559632788325 0.419384951376064 0.556191667441302 0.754029547593543 0.450831479618562 0.994902228549748
"Dst" 282.262070344642 0.572351496645394 0.437537356570485 1.30812029658819 0.19083251025871 0.807355907486074
"Gm3052" 33.0051952628222 -0.529809493403159 0.933687327515051 -0.567437811128071 0.570416766873909 0.998387098369769
"Gm37233" 22.0994429423287 -2.50564526707045 1.38646906336829 -1.80721325363238 0.0707290352211317 0.58207089314311
"Ccdc115" 2524.69491913896 0.104934119761482 0.104711268429749 1.00212824593833 0.316281657428427 0.921691239492579
"Imp4" 3994.66582140734 -0.0215489243831687 0.13305796170841 -0.161951409043768 0.871344118577843 0.998387098369769
"Ptpn18" 5887.53543809856 -0.193655588382879 0.105236741372299 -1.84018989810581 0.0657403625593485 0.565171439770381
"Gm28417" 148.619442049761 -0.139741798261426 0.376990619223525 -0.370677123343938 0.710878031305036 0.998387098369769
"4930568A12Rik" 58.618845200524 -0.0699674181531524 0.634549759895707 -0.110263091368362 0.912200727557097 0.998387098369769
"Arhgef4" 436.577548119321 0.545256404281593 0.374778517115654 1.45487635865033 0.145703493849234 0.757925620734699
"Gm38336" 25.055832708406 1.92913458286271 1.17458943586017 1.64239054427556 0.10050909328049 0.661154388574788
"Fam168b" 3429.42897661327 0.00951615531732597 0.101199388133612 0.0940337238478355 0.925082367658508 0.998387098369769
"Gm37127" 37.1042763861813 -1.90803132349861 0.959438854799519 -1.98869507311886 0.0467348701443598 0.482413068521058
"Plekhb2" 2027.98592750991 0.0191566451299433 0.166907490271247 0.114774029007393 0.908624234843838 0.998387098369769
"Gm37068" 72.3746994267047 -0.184936261302813 0.627372966337181 -0.29477881774622 0.768162848797808 0.998387098369769
"Hs6st1" 491.268067950735 0.12865975992578 0.345860996134481 0.371998465752853 0.709893991664764 0.998387098369769
"Uggt1" 2981.3372399329 0.44769726746785 0.125743964119402 3.56038773394113 0.000370307605448679 0.0335039152182754
"Neurl3" 5924.19557844873 0.15802678976034 0.12675248084648 1.24673528048527 0.212494578021387 0.832824049975092
"Arid5a" 7395.79564064645 0.185060058486135 0.0885493325129653 2.08990913013419 0.0366259632771558 0.439135498723502
"Kansl3" 1685.85916723507 -0.419744096481607 0.271846987361298 -1.54404542259557 0.122577329100694 0.714392280078901
"Fer1l5" 46.4303735401197 0.777682800996689 1.06858298205744 0.727770153609736 0.466754297768077 0.998347269572038
"Lman2l" 1951.27410923278 0.561751775491507 0.22470872244057 2.49991085966891 0.0124224559567926 0.257697328750093
"Cnnm4" 355.866071182985 -0.394611001794258 0.311701720283369 -1.26598916886155 0.205516960033701 0.825972497389927
"Cnnm3" 580.180695767584 -0.26743429643294 0.260219667953185 -1.0277251467443 0.304079135444376 0.914856677732187
"Ankrd23" 96.7191155571801 0.466957186578884 0.637710583217013 0.732239982945333 0.464022104212982 0.998347269572038
"Ankrd39" 1567.98467365226 0.356812406483846 0.206232205939443 1.73014881385024 0.0836036907861832 0.618239208231258
"Cox5b" 4900.41766100755 0.0164442786487485 0.0905419663140464 0.181620516078823 0.855880547124067 0.998387098369769
"Actr1b" 4415.96969601944 0.124514538953228 0.0976071888108189 1.27566975824456 0.20207228327079 0.822133003930644
"Zap70" 8059.75271705811 0.232501069142158 0.0797870410990487 2.91402044667289 0.00356806536158855 0.133668648864075
"Tmem131" 1474.1302319274 0.599592805439758 0.238260751034315 2.51654039885656 0.0118513312581111 0.251278202782741
"Gm38115" 41.9317233435005 -0.467589418747003 0.920798275515582 -0.507808747236398 0.611587474777497 0.998387098369769
"Vwa3b" 7.81937791359 5.34808262660341 3.47680278460921 1.53821857549062 0.12399518063543 NA
"Inpp4a" 850.202352281567 -0.205266875066728 0.173266760060572 -1.18468698205569 0.23614123140361 0.858326513661863
"Coa5" 3459.7262521267 0.10360785222024 0.17435755837614 0.594226331139183 0.552360743671684 0.998387098369769
"Unc50" 4145.26031762646 -0.0279786140599682 0.107789308395505 -0.259567618314312 0.795197317184719 0.998387098369769
"Mgat4a" 350.164811632271 0.425423243855059 0.500710165031204 0.849639718875184 0.395525422329756 0.976478926580572
"Cracdl" 177.013731152413 0.0426529336028106 0.49673971311147 0.0858657612366886 0.931573129529259 0.998387098369769
"Tsga10" 348.974625786654 0.324215051721753 0.53155949554386 0.609931822194306 0.541906971485337 0.998387098369769
"Lipt1" 223.588175623347 -0.415044681897404 0.635136635382783 -0.653473061977076 0.51345135039938 0.998387098369769
"Mitd1" 4191.75232534688 -0.19798973220275 0.120714919357018 -1.64014301842169 0.10097543373187 0.662248925423125
"Mrpl30" 4534.40787621383 -0.145120514470704 0.109036664563436 -1.33093317786032 0.18321099915622 0.799664631306966
"Txndc9" 4472.15536050693 -0.0043580581784349 0.0958878721545622 -0.0454495243299395 0.963749007037305 0.998387098369769
"Eif5b" 3582.95259079578 -0.0414072332776711 0.0907804267158273 -0.456125122734766 0.648300005429109 0.998387098369769
"Rev1" 585.393001709914 -0.0391617033467008 0.309190145900143 -0.126658963314273 0.899210326706647 0.998387098369769
"Aff3" 1398.58778516003 0.10912041510341 0.266612762065856 0.409284290286359 0.682331042935489 0.998387098369769
"Gm16150" 20.4326840814893 -0.416707666941703 1.31135867979314 -0.317767879499938 0.750661017216094 0.998387098369769
"Gm16151" 25.2344616439616 -0.648550609941119 1.47400809038729 -0.43999121454667 0.659943470371703 0.998387098369769
"Chst10" 1940.63109207592 0.2205480108753 0.206551178538971 1.06776447578433 0.285626766188128 0.904057376790591
"Pdcl3" 3564.32698750175 -0.00685107181532827 0.130216561211141 -0.0526129069267889 0.958040332974695 0.998387098369769
"Npas2" 12.074540402839 0.211161024399372 1.1419803849415 0.18490775076683 0.853301391592753 NA
"Gm3617" 17.8030398510639 -0.395544653592954 0.931302227644602 -0.424722116893615 0.671039258966122 0.998387098369769
"Rpl31" 1619.66488744189 -0.122052943625368 0.176385658016712 -0.691966370722752 0.488958448248254 0.998387098369769
"Tbc1d8" 57.9141214783103 -0.903877109397654 0.838026191508584 -1.07857859164345 0.280775629137807 0.903328725509069
"Cnot11" 3001.14224513857 -0.153418940235199 0.124736544324151 -1.22994380729766 0.218718148106831 0.840349927453695
"Gm15832" 109.428200953785 -0.941946309326689 0.465459045911383 -2.02369320695515 0.0430017279736405 0.468484283256707
"Rnf149" 3259.80989887562 0.128224077436551 0.179632811436869 0.713812117123239 0.475343365934912 0.998387098369769
"Map4k4" 2695.85811920703 -0.177216354877917 0.147501537509163 -1.20145428902331 0.229575027893282 0.852322389983231
"Il1r2" 68.7025743422457 4.46260139593443 1.34479980712097 3.31841317369627 0.000905304630577887 0.0588128137917298
"Gm16894" 10.6865422942327 -0.143823079481105 2.39806905783517 -0.0599745361840998 0.952175915354803 NA
"Il1r1" 25.905031891687 -0.133786013796494 0.855613195578402 -0.15636272849445 0.875747114119831 0.998387098369769
"Gm38070" 17.5897640476233 -0.578243593678667 0.98278668688855 -0.58837141507213 0.556283020079119 0.998387098369769
