,Fullname,Celltype,TimePostOHT,Foxp3
nKIKO.0.0.p.rep1,nKIKO.0.0.p,nKIKO,0,p
nKIKO.14.0.p.rep1,nKIKO.14.0.p,nKIKO,14,p
aKIKO.3.0.p.rep1,aKIKO.3.0.p,aKIKO,3,p
nKIKO.14.0.n.rep1,nKIKO.14.0.n,nKIKO,14,n
nKIKO.0.0.p.rep2,nKIKO.0.0.p,nKIKO,0,p
aKIKO.7.0.n.rep2,aKIKO.7.0.n,aKIKO,7,n
aKIKO.3.0.n.rep1,aKIKO.3.0.n,aKIKO,3,n
nTreg.nan.nan.rep2,nTreg.nan.nan,nTreg,nan,rep2
nKIKO.3.0.n.rep2,nKIKO.3.0.n,nKIKO,3,n
nKIKO.28.0.n.rep1,nKIKO.28.0.n,nKIKO,28,n
aKIKO.28.0.n.rep2,aKIKO.28.0.n,aKIKO,28,n
nKIKO.3.0.p.rep2,nKIKO.3.0.p,nKIKO,3,p
nKIKO.3.0.p.rep1,nKIKO.3.0.p,nKIKO,3,p
aKIKO.14.0.p.rep2,aKIKO.14.0.p,aKIKO,14,p
nKIKO.7.0.n.rep2,nKIKO.7.0.n,nKIKO,7,n
nKIKO.0.0.n.rep2,nKIKO.0.0.n,nKIKO,0,n
aKIKO.7.0.n.rep1,aKIKO.7.0.n,aKIKO,7,n
nKIKO.14.0.p.rep2,nKIKO.14.0.p,nKIKO,14,p
aTreg.nan.nan.rep1,aTreg.nan.nan,aTreg,nan,rep1
aKIKO.14.0.n.rep2,aKIKO.14.0.n,aKIKO,14,n
nKIKO.7.0.p.rep2,nKIKO.7.0.p,nKIKO,7,p
nKIKO.28.0.n.rep2,nKIKO.28.0.n,nKIKO,28,n
nKIKO.7.0.p.rep1,nKIKO.7.0.p,nKIKO,7,p
aKIKO.0.0.p.rep2,aKIKO.0.0.p,aKIKO,0,p
aKIKO.28.0.n.rep1,aKIKO.28.0.n,aKIKO,28,n
nTreg.nan.nan.rep1,nTreg.nan.nan,nTreg,nan,rep1
aKIKO.0.0.n.rep1,aKIKO.0.0.n,aKIKO,0,n
aTreg.nan.nan.rep2,aTreg.nan.nan,aTreg,nan,rep2
nKIKO.28.0.p.rep2,nKIKO.28.0.p,nKIKO,28,p
nKIKO.28.0.p.rep1,nKIKO.28.0.p,nKIKO,28,p
aKIKO.3.0.p.rep2,aKIKO.3.0.p,aKIKO,3,p
aKIKO.28.0.p.rep1,aKIKO.28.0.p,aKIKO,28,p
aKIKO.0.0.n.rep2,aKIKO.0.0.n,aKIKO,0,n
aKIKO.3.0.n.rep2,aKIKO.3.0.n,aKIKO,3,n
aKIKO.28.0.p.rep2,aKIKO.28.0.p,aKIKO,28,p
aKIKO.0.0.p.rep1,aKIKO.0.0.p,aKIKO,0,p
aKIKO.7.0.p.rep2,aKIKO.7.0.p,aKIKO,7,p
nKIKO.3.0.n.rep1,nKIKO.3.0.n,nKIKO,3,n
nKIKO.14.0.n.rep2,nKIKO.14.0.n,nKIKO,14,n
nKIKO.7.0.n.rep1,nKIKO.7.0.n,nKIKO,7,n
aKIKO.14.0.p.rep1,aKIKO.14.0.p,aKIKO,14,p
aKIKO.7.0.p.rep1,aKIKO.7.0.p,aKIKO,7,p
aKIKO.14.0.n.rep1,aKIKO.14.0.n,aKIKO,14,n
nKIKO.0.0.n.rep1,nKIKO.0.0.n,nKIKO,0,n
