Geneid,tir1_d3_rep3,tir1_d3_rep1,tir1_d7_rep5,tir1_d7_rep4,tir1_d7_rep6,tir1_d3_rep4,tir1_d7_rep2,tir1_d7_rep1,tir1_d7_rep3,wt_d7_rep4,wt_d7_rep1,wt_d7_rep2,wt_d3_rep1,wt_d3_rep2,wt_d3_rep4,wt_d7_rep3
4933401J01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26206,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm18956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37363,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37686,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38148,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19938,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm10568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,9,0,0,0,4,0,0,0,0,0,73,19,0,0,0,0
Rp1,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0
Gm6101,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0
Gm37483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7357,0,0,2,1,0,0,1,0,2,53,0,0,0,0,3,2
Gm22307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7369,1,1,0,0,3,1,0,0,0,0,0,0,0,1,0,0
Gm6085,249,214,96,176,174,174,171,180,125,169,177,146,203,256,170,184
Gm6119,0,0,1,0,0,0,0,0,1,25,4,25,0,0,0,0
U6,149,196,87,135,136,230,49,122,53,45,86,254,51,107,135,197
Gm2053,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0
Gm6123,26,31,29,21,50,140,57,33,30,37,20,33,31,54,42,31
Mrpl15,8138,7113,7866,8389,8689,7223,8048,8035,7282,7372,6010,6947,8156,6894,7779,6964
Gm37144,1,10,2,5,7,2,10,5,3,2,3,2,4,4,3,4
ENSMUSG00000120403,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0
Lypla1,6134,7010,12293,11216,11091,10008,10954,8545,12041,8846,8425,7492,8600,7692,10479,12150
Gm37988,0,8,8,1,11,8,1,9,5,4,2,3,4,0,14,2
Tcea1,4470,4993,10853,7535,9252,8186,8972,7634,9515,7226,5812,7005,6301,5437,7019,7584
Gm6104,3,6,3,3,1,8,0,10,3,1,1,5,2,2,3,5
Gm37277,0,0,0,0,0,1,2,0,0,0,0,0,0,22,2,0
Rgs20,0,0,0,0,0,0,0,0,0,1,19,0,0,0,0,0
Gm17100,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
Gm37079,59,0,0,1,0,0,0,0,0,0,0,44,0,0,0,0
Gm16041,0,0,0,0,0,0,0,0,0,0,138,0,0,0,3,12
Gm17101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1h,6884,8562,10228,9344,10588,7702,8976,9266,8221,8012,6622,6141,7342,7048,8363,9669
Gm7182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm38264,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Oprk1,0,0,0,0,0,0,0,10,0,0,66,0,0,0,0,0
Gm36965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00002076544,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Gm37429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4732440D04Rik,214,322,197,168,221,134,110,128,156,36,116,114,89,249,191,191
Rb1cc1,1775,984,5218,3348,3677,4214,3101,3856,3251,3210,2353,3441,2308,1409,4212,4561
Alkal1,1,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0
Gm2147,0,1,1,1,1,3,1,0,2,0,1,1,0,1,1,0
Gm7417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19026,2,0,1,1,0,0,0,0,0,0,29,14,0,0,25,0
St18,18,0,0,0,8,0,0,0,0,28,61,3,4,0,0,0
Gm42492,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Gm7449,0,0,0,0,1,0,1,0,1,5,7,1,0,0,0,0
Gm37108,109,91,110,103,116,91,123,114,126,112,119,119,145,163,172,107
Gm37275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm37225,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0
Gm37489,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
Gm5694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000120372,408,802,147,161,183,252,169,190,73,215,150,300,325,370,376,174
Pcmtd1,2595,2879,4720,3544,4317,2922,3592,4250,3697,3060,2687,2384,1900,2701,3621,5181
Gm26983,8,2,16,3,13,7,19,4,9,11,17,15,6,5,2,11
Gm38372,57,0,13,1,11,1,0,0,0,0,4,0,70,0,0,0
Gm9826,2,2,0,5,2,3,1,4,1,2,82,2,10,2,1,9
Nras-ps2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm23274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm19002,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm26901,8,11,4,5,3,8,13,17,11,91,11,12,55,14,7,7
Gm18984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm30414,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0
Gm37791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7470,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0
Rps2-ps2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0
Gm38216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
