"","Arnt","Ahr::Arnt","Tbxt","Pax5","En1","Mecom","Gata1","Klf4","NFYA","NFKB1","Nkx2-5","Pax2","Pax4","Prrx2","Sox17","Sox5","Hand1::Tcf3","JUN::FOS","Myb","Cebpa","Mycn","Spz1","ESR1","NR3C1","Nkx3-2","Nobox","Pdx1","Lhx3","ELF5","Tal1::Gata1","Esrrb","Pou5f1::Sox2","Sox2","Stat3","Tcfcp2l1","Zfx","Myc","Gabpa","Gata1","Klf4","RUNX1","Mycn","Foxa2","Pparg::Rxra","Arid3a","NFATC2","HNF1B","EBF1","FOXO3","HOXA5","NR4A2","Egr1","Nr2e3","CREB1","FOS::JUN","SP1","CEBPA","ARNT::HIF1A","SOX10","Esrrb","Sox2","Tcfcp2l1","Zfx","Atoh1","Bcl6","Bhlhe40","Crx","E2F3","EGR2","Erg","Foxo1","Gata4","Gfi1b","Hoxc9","Klf1","Nr1h3::Rxra","Meis1","Myod1","Myog","Nkx2-5(var.2)","Nr5a2","Rfx1","Rxra","Sox3","Sox6","Stat4","Stat5a::Stat5b","Stat6","Tcf12","Tcf3","Ets1","Gata1","Myb","Myc","Mycn","Nfe2l2","Spi1","Sox2","Bach1::Mafk","Hoxa9","NR3C1","Arid3b","Arid5a","Arntl","Atf1","Atf3","Bhlha15","Creb3l2","Crem","Dux","Foxj2","Gmeb1","Hes1","Hes2","Mitf","Mlxip","Neurog1","Npas2","Pou2f3","Rhox11","Six3","Tcfl5","Twist2","Ar","Esrrg","Nr2e1","Nr2f6","Phox2b","Pitx1","Prrx2","Rxra","Vdr","Lhx4","Lhx8","Msx3","Nkx3-1","Shox2","Esrra","Hnf4a","Nr2f6(var.2)","Hic1","Klf12","Tcf7","Ascl2","Atoh1","Srebf1(var.2)","Tcf21","Creb5","Mafb","Foxj3","Foxk1","Alx4","Alx1","Rarb","Rarb(var.2)","Rarg","Rarg(var.2)","Sox11","Sox1","Arx","Barhl1","Dlx1","Dlx3","Dlx4","Dmbx1","Dlx2","Hmx1","Hmx2","Hmx3","Hoxb5","Hoxd8","Hoxa11","Hoxd3","Hoxd9","Smad4","Dmrt1","Ebf2","Foxf1","Foxl2","Isl1","Plagl1","Prdm15","Ptf1a","Ptf1a(var.2)","Ptf1a(var.3)","Rbpjl","Smad2::Smad3","Stat2","Stat5a","Stat5b","Wt1","Zic1::Zic2","Zic2","Znf281","Nkx3-2","Foxn1"
"chr1_6214225_6215056",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
"chr1_7088417_7089588",0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,0
"chr1_7396711_7399082",4,1,0,0,0,0,2,1,0,1,1,0,8,6,0,0,0,0,1,0,4,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,6,0,1,0,0,6,0,0,1,0,0,0,2,0,0,0,16,0,0,2,0,1,0,1,1,0,1,0,2,24,1,0,0,0,0,3,1,2,1,0,0,1,0,0,4,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,4,0,0,2,0,5
"chr1_9824045_9824400",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chr1_10232655_10233234",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2
"chr1_13267216_13268307",0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1
"chr1_13371876_13374740",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,4,1,0,0,1,1,0,0,2,1,0,0,0,0,0,0,28,0,0,2,0,0,0,4,0,0,1,0,8,5,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,13,0,0,7,0,5
"chr1_13383112_13384004",0,0,0,0,0,0,2,1,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"chr1_13588368_13590207",0,0,0,0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,4,4,0,0,0,0,0,1,0,0,4,5,0,0,0,1,1,0,0,0,0,5,3,1,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,6,4,1,0,0,0,0,3,1,1,0,0,3
"chr1_13593143_13593932",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
